Username,First Name,Last Name,Phone Number
jchan92,Jason,Chan,51238476
emilywong88,Emily,Wong,67382910
kevintang01,Kevin,Tang,98451230
saralee77,Sara,Lee,74629183
tommyng23,Tommy,Ng,83920475
natalielam55,Natalie,Lam,62039481
derekho99,Derek,Ho,75839264
viviancheung,Vivian,Cheung,93482017
andrewtsui,Andrew,Tsui,68120394
jesslau88,Jessica,Lau,79038462
raymondkwok,Raymond,Kwok,85392046
lilyfung33,Lily,Fung,90238475
marcusyeung,Marcus,Yeung,76492038
chloechan21,Chloe,Chan,62839470
brianleung,Brian,Leung,84920376
stephanieyu,Stephanie,Yu,70394821
nicholastam,Nicholas,Tam,98237465
amandachow,Amanda,Chow,61928347
calvinmok88,Calvin,Mok,79482036
janettsang,Janet,Tsang,83029461
